Name,Type,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Conv_125,Conv,1311744000,1.34%,7375360,0.41%,819840,1.16%,1x1280x40x40,1x640x40x40
Conv_191,Conv,655872000,0.67%,3687680,0.20%,409920,0.58%,1x1280x40x40,1x320x40x40
Conv_122,Conv,327936000,0.33%,4303360,0.24%,819840,1.16%,1x1280x20x20,1x640x20x20
Sigmoid_126,Sigmoid,32768000,0.03%,4096000,0.23%,0,0.00%,1x640x40x40,1x640x40x40
Sigmoid_192,Sigmoid,16384000,0.02%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
Sigmoid_123,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_127,Mul,1024000,0.00%,4096000,0.23%,0,0.00%,1x640x40x40,1x640x40x40
Mul_193,Mul,512000,0.00%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
Mul_124,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Conv_128,Conv,1474816000,1.51%,15772160,0.87%,3687040,5.21%,1x640x40x40,1x640x20x20
Sigmoid_129,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_130,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Conv_132,Conv,131174400,0.13%,1721344,0.10%,327936,0.46%,1x1280x20x20,1x256x20x20
Conv_135,Conv,131174400,0.13%,1721344,0.10%,327936,0.46%,1x1280x20x20,1x256x20x20
Sigmoid_133,Sigmoid,3276800,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Sigmoid_136,Sigmoid,3276800,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Mul_134,Mul,102400,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Mul_137,Mul,102400,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Conv_138,Conv,236032000,0.24%,2769920,0.15%,590080,0.83%,1x256x20x20,1x256x20x20
Sigmoid_139,Sigmoid,3276800,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Mul_140,Mul,102400,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Conv_141,Conv,236032000,0.24%,2769920,0.15%,590080,0.83%,1x256x20x20,1x256x20x20
Sigmoid_142,Sigmoid,3276800,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Mul_143,Mul,102400,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Conv_144,Conv,236032000,0.24%,2769920,0.15%,590080,0.83%,1x256x20x20,1x256x20x20
Sigmoid_145,Sigmoid,3276800,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Mul_146,Mul,102400,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Conv_147,Conv,236032000,0.24%,2769920,0.15%,590080,0.83%,1x256x20x20,1x256x20x20
Sigmoid_148,Sigmoid,3276800,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Mul_149,Mul,102400,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Conv_150,Conv,236032000,0.24%,2769920,0.15%,590080,0.83%,1x256x20x20,1x256x20x20
Sigmoid_151,Sigmoid,3276800,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Mul_152,Mul,102400,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Conv_153,Conv,236032000,0.24%,2769920,0.15%,590080,0.83%,1x256x20x20,1x256x20x20
Sigmoid_154,Sigmoid,3276800,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Mul_155,Mul,102400,0.00%,409600,0.02%,0,0.00%,1x256x20x20,1x256x20x20
Conv_157,Conv,655872000,0.67%,8606720,0.48%,1639680,2.32%,1x1280x20x20,1x1280x20x20
Sigmoid_158,Sigmoid,16384000,0.02%,2048000,0.11%,0,0.00%,1x1280x20x20,1x1280x20x20
Mul_159,Mul,512000,0.00%,2048000,0.11%,0,0.00%,1x1280x20x20,1x1280x20x20
Conv_160,Conv,327936000,0.33%,4303360,0.24%,819840,1.16%,1x1280x20x20,1x640x20x20
Conv_179,Conv,327936000,0.33%,4303360,0.24%,819840,1.16%,1x1280x20x20,1x640x20x20
Sigmoid_161,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Sigmoid_180,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_162,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_181,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Conv_163,Conv,1474816000,1.51%,15772160,0.87%,3687040,5.21%,1x640x20x20,1x640x20x20
Sigmoid_164,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_165,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Conv_166,Conv,164096000,0.17%,2664960,0.15%,410240,0.58%,1x640x20x20,1x640x20x20
Sigmoid_167,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_168,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
MaxPool_169,MaxPool,6400000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
MaxPool_170,MaxPool,20736000,0.02%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
MaxPool_171,MaxPool,43264000,0.04%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Conv_173,Conv,655616000,0.67%,7580160,0.42%,1639040,2.31%,1x2560x20x20,1x640x20x20
Sigmoid_174,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_175,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Conv_176,Conv,1474816000,1.51%,15772160,0.87%,3687040,5.21%,1x640x20x20,1x640x20x20
Sigmoid_177,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_178,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Conv_183,Conv,327936000,0.33%,4303360,0.24%,819840,1.16%,1x1280x20x20,1x640x20x20
Sigmoid_184,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_185,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Conv_186,Conv,82048000,0.08%,1332480,0.07%,205120,0.29%,1x640x20x20,1x320x20x20
Sigmoid_187,Sigmoid,4096000,0.00%,512000,0.03%,0,0.00%,1x320x20x20,1x320x20x20
Mul_188,Mul,128000,0.00%,512000,0.03%,0,0.00%,1x320x20x20,1x320x20x20
Resize_190,Resize,0,0.00%,2048016,0.11%,4,0.00%,1x320x20x20,1x320x40x40
Conv_195,Conv,262553600,0.27%,2294784,0.13%,164096,0.23%,1x640x40x40,1x256x40x40
Conv_198,Conv,262553600,0.27%,2294784,0.13%,164096,0.23%,1x640x40x40,1x256x40x40
Sigmoid_196,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Sigmoid_199,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_197,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_200,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_201,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_202,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_203,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_204,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_205,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_206,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_207,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_208,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_209,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_210,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_211,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_212,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_213,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_214,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_215,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
